City,Country,Latitude,Longitude,Temp(F),Humidity,Cloudiness,Wind Speed
Zavallya,UA,48.21,30.02,45.15,61,80,8.97
Kavaratti,IN,10.57,72.64,81.24,100,36,5.73
Barrow,AR,-38.31,-60.23,61.98,60,0,12.88
Homer,US,59.64,-151.54,35.85,51,1,5.82
Kamenka,RU,53.19,44.05,33.01,80,76,9.31
New Norfolk,AU,-42.78,147.06,61.16,100,75,4.7
Carnarvon,ZA,-30.97,22.13,65.85,29,32,10.76
Sao Joao da Barra,BR,-21.64,-41.05,95,50,20,3.36
Beisfjord,NO,68.38,17.6,29.98,59,40,14.99
Vaini,IN,15.34,74.49,64.23,89,0,1.36
Nikolskoye,RU,59.7,30.79,34.47,94,40,2.24
Port Elizabeth,US,39.31,-74.98,48.45,25,1,10.29
Coalville,GB,52.73,-1.37,50.59,76,90,6.93
Launceston,AU,-41.43,147.14,60.91,93,40,11.41
Mar del Plata,AR,-46.43,-67.52,63.69,40,0,6.29
Pangkalanbuun,ID,-2.68,111.62,73.05,91,36,4.05
Dickinson,US,46.88,-102.79,38.66,69,1,14.99
Norman Wells,CA,65.28,-126.83,48.2,49,20,2.24
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,81.87,68,92,8.41
Nago,IT,45.88,10.89,44.37,80,20,3.36
Berlevag,NO,70.86,29.09,24.87,79,20,12.75
Castro,CL,-42.48,-73.76,53.6,54,75,6.93
Alcantara,PH,9.97,123.41,77.55,99,88,15.46
Eshowe,ZA,-28.89,31.46,66.84,89,0,2.04
George,NG,6.63,3.35,84.2,83,20,4.7
Trairi,BR,-3.28,-39.27,83.22,100,8,6.17
Masvingo,ZW,-20.08,30.83,61.8,94,12,4.38
Yenagoa,NG,4.92,6.26,79.8,80,0,7.63
Nuuk,GL,64.17,-51.74,6.8,77,75,10.29
Ponta do Sol,BR,-20.63,-46,78.45,81,0,3.15
Novyy Oskol,RU,50.76,37.86,29.4,76,8,3.38
Ambulu,ID,-8.35,113.61,76.11,100,24,4.38
Tongliao,CN,43.61,122.27,45.42,44,80,12.66
Kalininsk,RU,51.5,44.48,28.23,95,76,3.15
Saldanha,PT,41.42,-6.55,48.48,56,0,8.97
Dhidhdhoo,MV,6.88,73.1,83.85,100,68,4.94
Lidkoping,SE,58.51,13.16,32.86,59,24,4.7
Yuli,NG,10.52,9.86,73.5,52,0,2.82
Nagato,JP,34.35,131.14,46.4,81,0,3.36
Tashtyp,RU,52.8,89.89,16.08,77,64,2.37
Ankang,CN,32.73,108.99,51.45,96,100,1.7
Sao Filipe,CV,14.9,-24.5,72.33,92,32,13
Paracuru,BR,-3.41,-39.03,79.66,88,75,5.82
Coahuayana,MX,18.62,-100.35,87.18,23,0,3.27
Skibbereen,IE,51.55,-9.27,51.8,87,20,10.29
Sangueya,GN,10.7,-14.37,78.27,59,0,7.96
La Palma,CO,5.36,-74.39,74.13,87,76,1.7
Bambous Virieux,MU,-20.34,57.76,79.09,83,40,5.82
Vila Velha,BR,-3.71,-38.6,79.68,88,75,5.82
Hithadhoo,MV,-0.6,73.08,84.03,100,64,5.39
Ilulissat,GL,69.22,-51.1,-9.41,69,90,13.87
Garowe,SO,8.41,48.48,72.6,55,0,10.65
Talnakh,RU,69.49,88.39,9.42,89,80,8.63
Verkhoyansk,RU,67.55,133.39,-34.77,61,0,2.59
Fort Nelson,CA,58.81,-122.69,53.6,34,20,2.59
Sao Lourenco da Serra,BR,-23.85,-46.94,82.83,78,75,14.99
Chagoda,RU,59.16,35.33,34.53,99,88,5.95
Lebu,ET,8.96,38.73,47.76,64,0,4.5
Pierre,US,44.37,-100.35,35.46,80,90,12.75
Gamba,CN,28.28,88.52,-4.17,50,44,1.25
Saint-Augustin,FR,44.83,-0.61,46.2,75,0,6.93
Qaanaaq,GL,77.48,-69.36,-27.3,81,0,8.63
Evensk,RU,61.92,159.24,1.59,100,12,13.78
Lerdo,MX,18.63,-95.52,73.99,81,92,8.99
Saskylakh,RU,71.97,114.09,-10.47,53,76,3.6
Bouza,NE,14.42,6.04,77.28,37,0,5.17
Te Anau,NZ,-45.41,167.72,55.86,86,12,3.6
Nhulunbuy,AU,-12.18,136.78,80.6,94,64,2.24
Nador,MA,35.17,-2.93,58.96,67,88,9.17
Novikovo,UA,45.05,34.56,34.71,100,0,1.92
Kaputa,ZM,-8.47,29.66,67.11,95,24,1.14
Bilma,NE,18.69,12.92,71.97,22,0,7.74
Vila Franca do Campo,PT,37.72,-25.43,56.03,76,75,12.75
Santiago,CL,-33.44,-70.65,77.92,16,0,11.41
Paamiut,GL,61.99,-49.67,19.86,100,68,11.43
Marsh Harbour,BS,26.54,-77.06,69.9,100,92,22.28
Neuquen,AR,-38.95,-68.06,68,22,0,11.41
Jalu,LY,29.03,21.55,64.77,29,68,5.61
Khandyga,RU,62.65,135.58,-17.4,50,0,2.37
Norton Shores,US,43.17,-86.26,43.81,52,40,9.17
Westerland,NL,52.89,4.93,44.22,100,0,8.05
Balabac,PH,7.99,117.06,79.44,100,88,11.43
Mineiros,BR,-17.57,-52.55,82.32,74,36,3.15
Cidreira,BR,-30.17,-50.22,74.94,80,48,8.63
Pandua,IN,23.08,88.29,77,88,0,6.93
Puerto Escondido,MX,15.86,-97.07,84.2,66,40,9.17
Torbay,CA,47.66,-52.73,25.9,53,75,17.22
Mlonggo,ID,-6.53,110.7,73.59,100,56,3.15
Kirakira,SB,-10.46,161.92,83.13,100,36,2.82
Kysyl-Syr,RU,63.9,122.77,-13.17,60,32,2.15
Annau,TM,37.89,58.52,46.4,87,90,9.17
Iqaluit,CA,63.75,-68.52,-11.1,57,20,17.22
Chegdomyn,RU,51.13,133.04,15.9,72,76,2.71
Irbit,RU,57.67,63.06,13.47,81,0,6.73
Piterka,RU,50.68,47.44,18.6,70,0,2.93
Pauini,BR,-7.71,-67,83.31,80,32,5.39
Rocha,UY,-34.48,-54.34,66.75,59,12,12.88
Tuktoyaktuk,CA,69.44,-133.03,17.6,92,90,3.36
Clyde River,CA,70.47,-68.59,-9.41,83,90,33.33
Bhanjanagar,IN,19.92,84.58,66.57,90,0,2.59
Hay River,CA,60.82,-115.79,53.6,32,40,13.87
Isangel,VU,-19.55,169.27,78.09,100,80,16.24
Lorengau,PG,-2.02,147.27,82.23,100,92,10.09
Sacramento,US,38.58,-121.49,68.99,52,20,3.38
Xining,CN,36.62,101.77,20.67,67,24,2.15
Maldonado,UY,-34.91,-54.96,68,60,20,17.22
Chara,GR,39.42,22.43,51.75,81,40,5.82
Carutapera,BR,-1.2,-46.02,79.71,91,88,4.38
Poum,MK,41.28,20.71,40.92,74,64,2.59
Cheney,US,47.49,-117.58,54.7,45,1,5.82
Kichmengskiy Gorodok,RU,59.99,45.81,33.99,96,88,8.3
Virginia Beach,US,36.85,-75.98,49.64,31,1,13.87
Honiara,SB,-9.43,159.96,76.2,100,68,0.47
Tasiilaq,GL,65.61,-37.64,12.2,66,75,13.87
Taywarah,AF,33.35,64.42,13.83,72,12,1.92
Esperance,TT,10.24,-61.45,86.99,52,20,16.11
College,US,64.86,-147.8,28.45,68,75,19.46
Ixtapa,MX,20.71,-105.21,77,73,5,14.99
Upernavik,GL,72.79,-56.15,-7.23,100,24,22.17
Tocopilla,CL,-22.09,-70.2,69.18,85,12,6.73
Ibanda,UG,0.33,30.08,61.08,81,0,2.37
Verkhnevilyuysk,RU,63.45,120.31,-5.25,82,64,2.71
Dikson,RU,73.51,80.55,13.2,88,56,6.4
Goderich,CA,43.74,-81.71,39.67,59,0,8.99
Lashio,MM,22.93,97.75,64.41,72,92,1.36
Matay,EG,28.42,30.79,54.6,58,0,6.4
Egvekinot,RU,66.32,-179.17,-16.59,45,0,2.82
Abaete,BR,-19.16,-45.45,78.63,83,32,4.94
Alofi,NU,-19.06,-169.92,78.8,94,80,1.12
Trapani,IT,38.02,12.54,54.36,93,20,8.05
Strezhevoy,RU,60.73,77.6,28.4,79,90,2.24
Dingle,PH,11,122.67,76.65,81,44,13.78
Kahului,US,20.89,-156.47,71.73,64,20,17.22
Jefferson City,US,38.58,-92.17,54.09,37,90,9.17
Baruun-Urt,MN,46.68,113.28,20.4,57,80,16.58
Muscat,OM,23.6,58.55,73.4,43,0,6.93
Jurm,AF,36.86,70.83,17.7,91,44,0.92
Camacha,PT,33.08,-16.33,61.83,72,75,12.75
Yar-Sale,RU,66.83,70.83,22.2,84,80,16.58
Cockburn Town,TC,21.46,-71.14,76.83,100,64,10.42
Dunedin,NZ,-45.87,170.5,57.99,96,0,4.16
Nikki,BJ,9.94,3.21,84.75,39,64,4.94
Meulaboh,ID,4.14,96.13,79.08,100,48,3.15
Eureka,US,40.8,-124.16,59.79,71,1,6.93
Quatre Cocos,MU,-20.21,57.76,79.18,83,40,5.82
Chanika,MW,-12.93,34.19,74.31,95,48,2.48
Ambam,NG,9.52,8.32,77,23,0,2.24
Mezen,RU,65.85,44.24,34.53,92,92,6.96
Coquimbo,CL,-29.95,-71.34,64.4,68,0,12.75
Fjerritslev,DK,57.08,9.27,37.69,86,44,13.67
Vizinga,RU,61.08,50.08,33.63,98,92,6.85
Tadine,NC,-21.55,167.88,80.16,94,80,15.23
San Cristobal,EC,-0.39,-78.55,58.96,71,75,8.05
Kununurra,AU,-15.77,128.74,77,94,0,1.12
Yatou,CM,3.63,9.81,82.4,88,40,2.24
Caravelas,BR,-17.73,-39.27,84.03,99,0,15.68
Salinopolis,BR,-0.61,-47.36,80.07,100,92,7.52
Liberal,US,37.04,-100.92,54.64,50,40,12.75
Rundu,NA,-17.91,19.77,79.35,39,64,5.61
Polyarnyy,RU,69.2,33.45,28.4,68,75,8.95
Fare,PF,-16.7,-151.02,83.76,100,44,4.27
Darhan,MN,49.49,105.92,9.6,74,32,4.72
Toktogul,KG,41.87,72.95,43,37,68,4
Takoradi,GH,4.89,-1.75,83.22,99,0,8.19
Margate,AU,-43.03,147.26,61.16,100,75,4.7
Harper,US,30.3,-99.24,66.27,30,1,12.75
Yulara,AU,-25.24,130.99,80.6,26,64,8.05
San Jose,PH,15.79,120.99,65.22,93,0,2.04
Terrace,CA,54.52,-128.61,55.74,46,5,20.8
Narsaq,GL,60.91,-46.05,12.2,33,20,5.82
Matara,PE,-13.74,-72.9,37.4,328,40,2.48
San Patricio,PY,-26.98,-56.83,81.24,73,0,2.37
Severo-Kurilsk,RU,50.68,156.12,29.31,100,56,20.83
Lima Duarte,BR,-21.84,-43.79,84.2,51,40,5.82
Shache,CN,38.42,77.24,51.01,31,64,1.01
Agua Dulce,MX,18.14,-94.15,73.4,78,90,18.7
Atikokan,CA,48.76,-91.62,41.91,65,44,8.41
Rio Grande,BR,-32.03,-52.1,80.6,57,20,12.75
Port Blair,IN,11.67,92.75,83.85,100,0,2.59
Umba,RU,66.69,34.34,23.55,78,0,8.08
Grindavik,IS,63.84,-22.43,36.7,69,75,38.03
Atambua,ID,-9.11,124.89,78.63,100,0,5.39
Merauke,ID,-8.49,140.4,75.93,100,92,13.44
Troitskoye,RU,52.98,84.68,6.63,70,20,2.48
Port Lincoln,AU,-34.72,135.86,59.73,100,56,6.73
Bangkalan,ID,-7.05,112.74,74.4,100,68,3.6
East London,ZA,-33.02,27.91,76.92,97,8,9.64
Faanui,PF,-16.48,-151.75,82.14,100,64,5.5
Lucea,JM,18.44,-78.17,84.2,66,40,5.82
Kaeo,NZ,-35.1,173.78,62.01,90,0,7.63
Nishihara,JP,35.74,139.53,49.01,58,20,13.87
Ratnagiri,IN,16.98,73.3,75.12,100,0,4.94
Salisbury,GB,51.07,-1.8,48.72,81,75,8.05
Den Helder,NL,52.96,4.76,44.56,100,0,8.05
Hofn,IS,64.25,-15.21,40.29,98,8,28.54
Brookings,US,44.31,-96.8,39.83,96,1,8.05
Praia da Vitoria,PT,38.73,-27.07,58.24,71,75,14.79
Constitucion,MX,23.99,-104.67,68.52,13,5,4.7
Mackay,CA,53.65,-115.58,57.22,24,20,10.29
Aasiaat,GL,68.71,-52.87,-6.87,100,24,9.75
Mayo,CA,63.59,-135.9,53.6,37,75,8.05
Rawson,AR,-43.3,-65.11,62.16,36,80,8.19
Camocim,BR,-2.9,-40.84,80.97,82,44,6.51
Kamenskiy,RU,50.89,45.49,16.53,71,8,2.04
Gayeri,BF,12.65,0.49,82.95,33,0,5.73
Tornio,FI,61.12,27.27,33.85,100,90,3.36
Hambantota,LK,6.12,81.12,79.35,100,20,10.54
Dali,CN,25.6,100.24,49.2,81,8,3.04
Panjab,AF,34.38,67.02,13.56,72,56,1.7
Liverpool,GB,53.41,-2.98,49.48,87,90,5.82
Vestmanna,FO,62.16,-7.17,42.8,70,92,16.11
Ornskoldsvik,SE,63.29,18.72,19.4,92,0,3.36
Puerto Colombia,CO,10.99,-74.96,88.74,55,40,11.41
Barcelos,PT,41.53,-8.62,57.45,76,0,3.36
Northam,GB,51.04,-4.21,49.6,81,40,1.12
Flin Flon,CA,54.77,-101.88,51.8,40,40,16.11
Tiarei,PF,-17.53,-149.33,86,70,75,4.7
Campos Gerais,BR,-21.23,-45.76,79.17,76,0,5.28
Agadez,NE,16.97,7.99,78.09,24,12,4.27
Mecca,SA,21.43,39.83,67.56,80,0,2.82
Codrington,AU,-28.95,153.24,70.27,83,90,3.27
Treinta y Tres,UY,-33.23,-54.39,71.52,54,88,13.89
Thunder Bay,CA,48.41,-89.26,42.04,48,75,13.87
Kaitangata,NZ,-46.28,169.85,58.2,84,24,4.61
Palmer,AU,-34.85,139.16,61.39,77,40,9.17
Yanam,IN,16.73,82.22,76.65,86,0,5.5
Nichinan,JP,31.65,131.31,48,76,0,10
Auki,NG,12.18,6.51,79.17,24,0,7.74
Biak,ID,-0.91,122.88,75.84,97,8,2.59
Phuket,TH,7.89,98.4,76.93,74,20,4.7
Chaozhou,CN,23.66,116.62,66.2,93,75,11.18
Mabaruma,GY,8.2,-59.78,78.99,84,64,6.62
Ahipara,NZ,-35.17,173.16,67.2,88,0,6.96
Yumen,CN,40.29,97.04,21.12,72,80,6.51
Saint-Pierre,FR,48.95,4.24,37.24,75,0,3.36
Komsomolskiy,RU,67.55,63.78,26.79,93,80,16.69
Saint-Georges,CA,46.12,-70.67,26.69,43,0,5.99
Tura,IN,25.52,90.21,58.92,96,8,5.06
Manzanillo,CU,20.34,-77.12,82.05,95,0,12.77
Chambas,CU,22.19,-78.91,86,58,40,11.41
Inirida,CO,3.87,-67.92,77.91,91,76,2.82
Port Hardy,CA,50.7,-127.42,60.8,41,20,14.99
Portland,US,45.52,-122.67,68.25,39,1,12.75
Cabo San Lucas,MX,22.89,-109.91,77.9,38,5,9.17
Almenara,BR,-16.17,-40.69,81.15,70,48,2.71
Medicine Hat,CA,50.04,-110.68,49.78,57,40,11.41
Dicabisagan,PH,17.08,122.42,73.77,100,64,4.38
Guerrero Negro,MX,27.97,-114.04,70.35,46,0,9.98
Henties Bay,NA,-22.12,14.28,63,91,0,5.99
Burgeo,CA,47.61,-57.61,24.72,100,20,15.68
Sorland,NO,67.67,12.69,36.54,80,75,23.04
Stykkisholmur,IS,65.08,-22.73,36.42,92,92,27.42
Taoudenni,ML,22.68,-3.98,62.07,17,0,4.72
Sinnai,IT,39.3,9.2,52.38,87,75,2.24
Trincomalee,LK,8.58,81.23,73.68,92,0,5.95
Maputo,MZ,-25.97,32.57,78.8,78,0,5.82
Port Hedland,AU,-20.31,118.58,82.4,83,0,4.38
Victoria,BN,5.28,115.24,78.35,94,75,5.17
Bethel,US,60.79,-161.76,9.95,78,1,10.29
Oga,NG,8.18,5.65,82.77,59,32,8.75
Namibe,AO,-15.19,12.15,76.47,100,0,12.21
Huarmey,PE,-10.07,-78.15,78.18,59,20,3.83
Necochea,AR,-38.55,-58.74,61.32,69,64,5.99
Fortuna,ES,38.18,-1.13,53.06,66,20,11.41
Sitka,US,37.17,-99.65,52,60,92,5.99
Mahibadhoo,MV,3.78,72.97,83.58,100,56,9.42
Bowen,AU,-20.01,148.25,73.62,94,44,2.24
Mitu,IR,36.2,46.09,31.83,98,68,2.37
West Wendover,US,40.74,-114.07,53.6,30,1,6.93
Lavrentiya,RU,65.58,-170.99,-1.2,100,0,13.89
Zhezkazgan,KZ,47.8,67.71,20.58,78,8,10.42
Llandrindod Wells,GB,52.24,-3.38,48.47,81,92,1.99
Tigil,RU,57.8,158.67,-5.7,69,24,7.85
Omsukchan,RU,62.53,155.8,-15.42,62,36,4.16
Nguruka,TZ,-5.11,31.04,65.4,100,80,3.94
Pisco,PE,-13.71,-76.2,71.6,30,0,11.41
Grand Gaube,MU,-20.01,57.66,79.3,83,40,5.82
Muli,IN,22.62,71.45,70.08,64,0,10.76
Sinnamary,GF,5.38,-52.96,79.62,96,88,10.98
Kanniyakumari,IN,8.08,77.57,82.95,100,0,4.38
Tulun,RU,54.56,100.58,16.53,77,64,2.37
Andijan,UZ,40.76,72.37,47.07,76,75,2.24
Erzin,TR,36.95,36.2,53.49,76,0,2.24
Magistralnyy,RU,56.17,107.45,15.45,85,80,2.48
Geraldton,CA,49.72,-86.95,39.2,48,90,18.34
Ituango,CO,7.17,-75.76,69.27,93,68,0.58
Umm Lajj,SA,25.02,37.27,63.96,100,44,3.38
Qatana,SY,33.43,36.09,51.71,66,0,8.05
Saint-Denis,FR,48.94,2.36,45.23,61,0,2.24
Hadejia,NG,12.45,10.04,80.07,21,0,8.63
Kolding,DK,55.49,9.48,36.93,86,24,5.82
Vardo,US,39.62,-77.74,48.72,26,1,3.36
Jiayuguan,CN,39.77,98.29,15.27,86,80,3.38
Opuwo,NA,-18.06,13.84,84.21,26,76,7.4
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,26.6,92,75,20.13
Tsiroanomandidy,MG,-18.77,46.05,62.43,92,48,2.48
Mucurapo,TT,10.67,-61.53,86.97,52,20,16.11
Omboue,GA,-1.57,9.26,83.49,100,20,9.86
Bitung,ID,1.44,125.19,73.4,100,20,2.24
Ambilobe,MG,-13.19,49.05,71.07,96,0,3.15
Eskisehir,TR,39.78,30.52,49.08,66,20,5.82
Sorong,ID,-0.86,131.25,80.25,100,56,7.18
Touros,BR,-5.2,-35.46,86,74,40,9.17
Baherden,TM,38.44,57.43,43.26,93,68,4.94
Kuybysheve,UA,47.36,36.65,34.8,84,0,7.18
Kulhudhuffushi,MV,6.62,73.07,83.85,100,68,4.94
Ostrovnoy,RU,68.05,39.51,30.3,96,80,9.98
Chambersburg,US,39.94,-77.66,48.38,26,1,3.36
Mareeba,AU,-16.99,145.42,73.78,88,90,5.82
Warrnambool,AU,-38.38,142.48,63,96,92,9.19
San Carlos del Zulia,VE,9,-71.91,90.78,62,32,3.49
Nome,US,30.04,-94.42,71.15,26,1,9.17
San Quintin,PH,17.54,120.52,65.31,76,0,4.16
Dalbandin,PK,28.9,64.41,51.54,43,0,7.85
Nirasaki,JP,35.72,138.41,36.12,77,0,1.7
Neyshabur,IR,36.21,58.79,33.27,94,88,4.83
Hanna,CA,51.64,-111.93,48,48,0,10
Alta Floresta,BR,-9.87,-56.08,80.6,78,40,4.7
Esil,KZ,51.96,66.41,18.42,83,24,11.21
Eirunepe,BR,-6.66,-69.87,87.27,69,36,2.82
Deputatskiy,RU,69.3,139.9,-36.57,66,0,2.71
Ulladulla,AU,-35.36,150.48,63.64,100,56,4.7
Dutse,NG,11.76,9.34,78.09,29,0,5.95
Caraballeda,VE,10.61,-66.85,77.46,93,0,16.69
Pio XII,BR,-3.89,-45.17,82.32,80,44,3.04
Verkhnyaya Inta,RU,65.99,60.32,33.81,90,88,6.85
Luanda,AO,-8.83,13.24,80.6,88,75,3.36
Mogocha,RU,53.73,119.76,2.13,70,36,2.15
La Libertad,PE,-16.38,-71.56,69.8,28,0,12.75
Belmonte,PT,40.36,-7.35,50,60,0,4
Killybegs,IE,54.63,-8.45,48.74,100,90,12.75
Kalemie,CD,-5.95,29.2,78.09,99,24,3.83
Nakamura,JP,35.17,136.87,43.14,81,20,10.29
Tilichiki,RU,60.47,166.1,-18.57,52,12,3.27
Libreville,GA,0.39,9.45,84.2,83,20,3.36
Ust-Nera,RU,64.57,143.24,-33.15,51,0,2.15
Itarema,BR,-2.92,-39.92,81.33,81,44,5.61
Tias,ES,28.96,-13.65,64.4,68,40,12.75
Woodburn,AU,-29.07,153.34,70.27,83,90,8.08
Muros,ES,42.77,-9.06,51.76,70,0,8.05
Sangar,RU,63.92,127.47,-21,59,0,0.69
Bathsheba,BB,13.22,-59.52,84.2,54,20,17.22
Beboto,TD,8.27,16.94,77.55,23,0,7.74
La Ronge,CA,55.1,-105.3,50,46,20,16.11
Abu Samrah,SY,35.3,37.18,51.9,72,0,8.19
Syriam,MM,16.77,96.24,77,83,0,4.7
Sidney,US,47.72,-104.16,39.81,84,1,13.87
Leeton,AU,-34.55,146.4,66,64,0,6.93
Jerico,US,37.17,-92.67,61.29,31,1,9.17
Viseu,PT,40.66,-7.91,57.56,71,0,5.82
Sturgis,US,44.41,-103.51,42.35,55,1,8.05
Valparaiso,US,41.47,-87.06,48.52,45,40,10.29
Sur,OM,22.57,59.53,70.08,99,0,2.59
Vargashi,RU,55.36,65.85,7.35,53,0,2.93
Mandera,ET,3.94,41.86,85.47,28,0,10.2
Gdov,RU,58.74,27.82,33.54,92,92,10.42
Chernogorsk,RU,53.83,91.31,19.4,73,80,2.24
Wenzhou,CN,28.02,120.66,52.98,94,92,1.48
Nizhniy Tsasuchey,RU,50.52,115.13,13.38,70,64,3.38
Kudahuvadhoo,MV,2.67,72.89,84.39,100,64,10.31
Malanje,AO,-9.54,16.35,68.01,93,56,2.48
Narimanov,RU,46.69,47.85,39.02,64,40,6.71
Phanat Nikhom,TH,13.45,101.18,82.83,83,20,6.93
Vao,EE,59.1,26.19,33.63,99,88,7.96
Port-Gentil,GA,-0.72,8.78,82.4,83,40,6.93
Sagua la Grande,CU,22.81,-80.07,87.8,35,40,13.87
Klaksvik,FO,62.23,-6.59,42.8,70,64,23.04
Kokopo,PG,-4.34,152.27,80.25,100,0,2.37
Dogondoutchi,NE,13.64,4.03,81.42,41,0,4.61
Cabra,ES,37.47,-4.43,51.84,50,0,1.12
Erenhot,CN,43.65,111.97,44.07,36,80,7.74
Moron,VE,10.49,-68.2,81.96,59,44,3.94
San Rafael,AR,-34.61,-68.33,62.7,20,0,10.31
Kisangani,CD,0.52,25.21,75.84,95,36,4.38
Nelson Bay,AU,-32.72,152.14,66.22,93,90,6.93
Tacuati,PY,-23.46,-56.74,81.15,88,56,2.59
Faya,SA,18.39,42.45,63.52,36,0,6.93
Ustka,PL,54.58,16.86,36,79,0,10.09
Inuvik,CA,68.36,-133.71,23.81,79,20,6.93
Ayotzintepec,MX,17.67,-96.13,65.67,85,76,2.15
Veshenskaya,RU,49.63,41.73,27.78,85,0,2.93
Otjimbingwe,NA,-22.35,16.13,72.96,42,0,5.73
Ossora,RU,59.24,163.07,-10.83,89,0,4.61
Lakes Entrance,AU,-37.88,147.99,65.25,98,92,3.15
